a = 1; b = 2; priority = 0; result = 4,666666999999996
a = 2; b = 3; priority = 0; result = 12,666666999999997
a = 1; b = 2; priority = 0; result = 4,666666999999996
a = 1; b = 2; priority = 0; result = 4,666666999999996
a = 1; b = 2; priority = 0; result = 4,666666999999996
a = 2; b = 3; priority = 0; result = 12,666666999999997
a = 0; b = 2; priority = 0; result = 5,333335999999999
a = -3; b = 3; priority = 0; result = 36,000072000000024
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 1; b = 2; priority = 0; result = 11,25000002249999
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 0; b = 2; priority = 0; result = 12,000000120000031
a = 1; b = 3; priority = 0; result = 60,00000023999999
a = 3; b = 2; priority = 0; result = -48,75000003749996
a = 0; b = 2; priority = 0; result = 12,000000120000031
