отсчеты;Канал0;Канал1;
0;0.9423828125;0.9176635742;
1;0.940246582;0.9201049805;
2;0.9429931641;0.9188842773;
3;0.9384155273;0.9173583984;
4;0.9353637695;0.9161376953;
5;0.9396362305;0.9124755859;
6;0.9454345703;0.9066772461;
7;0.9545898438;0.9014892578;
8;0.9518432617;0.9020996094;
9;0.9432983398;0.9063720703;
10;0.9494018555;0.908203125;
11;0.9588623047;0.9069824219;
12;0.9567260742;0.9045410156;
13;0.9548950195;0.9051513672;
14;0.9481811523;0.9057617188;
15;0.9497070313;0.9051513672;
16;0.9585571289;0.9039306641;
17;0.9609985352;0.9020996094;
18;0.9591674805;0.9033203125;
19;0.9591674805;0.9045410156;
20;0.9689331055;0.9030151367;
21;0.9744262695;0.9027099609;
22;0.9704589844;0.9030151367;
23;0.9710693359;0.9066772461;
24;0.9716796875;0.9088134766;
25;0.9790039063;0.9094238281;
26;0.9811401367;0.9094238281;
27;0.9771728516;0.9094238281;
28;0.9729003906;0.9115600586;
29;0.9796142578;0.9143066406;
30;0.9811401367;0.9161376953;
31;0.9808349609;0.9167480469;
32;0.9820556641;0.9185791016;
33;0.9899902344;0.9222412109;
34;0.9909057617;0.9231567383;
35;0.9872436523;0.9240722656;
36;0.9860229492;0.9252929688;
37;0.9909057617;0.924987793;
38;0.9942626953;0.9225463867;
39;0.9924316406;0.9219360352;
40;0.9893798828;0.9246826172;
41;0.9915161133;0.9289550781;
42;0.9942626953;0.9307861328;
43;0.9954833984;0.930480957;
44;0.9902954102;0.9298706055;
45;0.9854125977;0.9292602539;
46;0.9927368164;0.9295654297;
47;0.9976196289;0.9317016602;
48;1.000976563;0.9329223633;
49;0.9976196289;0.9326171875;
50;0.9951782227;0.9310913086;
51;1.002502441;0.9298706055;
52;1.002197266;0.9298706055;
53;0.9973144531;0.9298706055;
54;0.9918212891;0.9298706055;
55;0.9967041016;0.9307861328;
56;1.005249023;0.9320068359;
57;1.002197266;0.9341430664;
58;0.9997558594;0.9353637695;
59;1.002502441;0.9353637695;
60;1.012878418;0.9350585938;
61;1.014404297;0.9359741211;
62;1.011657715;0.9371948242;
63;1.010131836;0.9371948242;
64;1.016540527;0.9362792969;
65;1.014709473;0.9365844727;
66;1.009521484;0.9365844727;
67;1.005859375;0.9359741211;
68;1.011657715;0.9350585938;
69;1.01776123;0.934753418;
70;1.014404297;0.9365844727;
71;1.010742188;0.9359741211;
72;1.011962891;0.934753418;
73;1.012268066;0.9356689453;
74;1.011962891;0.9387207031;
75;1.011657715;0.9399414063;
76;1.011352539;0.9393310547;
77;1.015319824;0.9378051758;
78;1.014099121;0.9390258789;
79;1.010742188;0.9396362305;
80;1.009216309;0.9393310547;
81;1.005249023;0.9384155273;
82;1.006469727;0.9381103516;
83;1.007995605;0.9371948242;
84;1.006164551;0.9359741211;
85;1.003417969;0.9350585938;
86;1.000061035;0.9341430664;
87;1.000061035;0.9359741211;
88;1.000976563;0.9365844727;
89;0.9970092773;0.9359741211;
90;0.9924316406;0.9362792969;
91;0.9884643555;0.9359741211;
92;0.9881591797;0.9353637695;
93;0.9841918945;0.9344482422;
94;0.9725952148;0.9335327148;
95;0.9707641602;0.9344482422;
96;0.9729003906;0.9359741211;
97;0.9664916992;0.9365844727;
98;0.954284668;0.9344482422;
99;0.9494018555;0.9320068359;
100;0.9506225586;0.9326171875;
101;0.9442138672;0.9356689453;
102;0.9481811523;0.9353637695;
103;0.9484863281;0.9335327148;
104;0.9442138672;0.9323120117;
105;0.9387207031;0.9353637695;
106;0.9356689453;0.9371948242;
107;0.9307861328;0.9365844727;
108;0.9292602539;0.9350585938;
109;0.9262084961;0.9332275391;
110;0.9237670898;0.9329223633;
111;0.9283447266;0.9335327148;
112;0.9329223633;0.9332275391;
113;0.9313964844;0.9329223633;
114;0.9225463867;0.9329223633;
115;0.9176635742;0.9326171875;
116;0.9204101563;0.9307861328;
117;0.9219360352;0.9301757813;
118;0.9121704102;0.930480957;
119;0.9069824219;0.9317016602;
120;0.9100341797;0.9323120117;
121;0.9088134766;0.9320068359;
122;0.9075927734;0.9313964844;
123;0.9030151367;0.9317016602;
124;0.9060668945;0.9313964844;
125;0.9091186523;0.9307861328;
126;0.9030151367;0.9295654297;
127;0.8963012695;0.9295654297;
128;0.8941650391;0.9298706055;
129;0.8999633789;0.9298706055;
130;0.8996582031;0.9301757813;
131;0.891418457;0.930480957;
132;0.8990478516;0.9323120117;
133;0.9060668945;0.9341430664;
134;0.9112548828;0.9344482422;
135;0.9051513672;0.934753418;
136;0.9002685547;0.9353637695;
137;0.9039306641;0.9359741211;
138;0.9088134766;0.9353637695;
139;0.908203125;0.9341430664;
140;0.9042358398;0.9332275391;
141;0.9060668945;0.9329223633;
142;0.9078979492;0.9341430664;
143;0.9155273438;0.9350585938;
144;0.9103393555;0.9353637695;
145;0.9075927734;0.9335327148;
146;0.9124755859;0.9329223633;
147;0.9176635742;0.9329223633;
148;0.9188842773;0.9326171875;
149;0.9133911133;0.9310913086;
150;0.9158325195;0.9298706055;
151;0.9118652344;0.9298706055;
152;0.9097290039;0.9307861328;
153;0.8993530273;0.9307861328;
154;0.9024047852;0.9310913086;
155;0.9030151367;0.9323120117;
156;0.9060668945;0.9335327148;
157;0.9008789063;0.9341430664;
158;0.8908081055;0.9341430664;
159;0.8947753906;0.9332275391;
160;0.9075927734;0.9332275391;
161;0.9060668945;0.934753418;
162;0.8996582031;0.9356689453;
163;0.9002685547;0.9365844727;
164;0.9005737305;0.9362792969;
165;0.8981323242;0.9356689453;
166;0.8935546875;0.9359741211;
167;0.8938598633;0.9368896484;
168;0.9030151367;0.9368896484;
169;0.9069824219;0.9359741211;
170;0.8993530273;0.9344482422;
171;0.8932495117;0.9353637695;
172;0.8889770508;0.9368896484;
173;0.8938598633;0.9368896484;
174;0.8908081055;0.9356689453;
175;0.8883666992;0.9353637695;
176;0.8908081055;0.9362792969;
177;0.8908081055;0.9365844727;
178;0.8920288086;0.9353637695;
179;0.8920288086;0.9338378906;
180;0.8969116211;0.9338378906;
181;0.9005737305;0.9344482422;
182;0.8923339844;0.9335327148;
183;0.8874511719;0.9332275391;
184;0.8990478516;0.9310913086;
185;0.9030151367;0.9307861328;
186;0.9005737305;0.9317016602;
187;0.8944702148;0.9338378906;
188;0.9097290039;0.9359741211;
189;0.9155273438;0.934753418;
190;0.9078979492;0.9341430664;
191;0.8901977539;0.9350585938;
192;0.891418457;0.9335327148;
193;0.9014892578;0.9298706055;
194;0.8993530273;0.9271240234;
195;0.9024047852;0.927734375;
196;0.9057617188;0.9292602539;
197;0.9127807617;0.9295654297;
198;0.9103393555;0.9283447266;
199;0.9124755859;0.9286499023;
200;0.9103393555;0.927734375;
201;0.9091186523;0.9274291992;
202;0.9127807617;0.9268188477;
203;0.9121704102;0.9262084961;
204;0.9078979492;0.9268188477;
205;0.905456543;0.9274291992;
206;0.908203125;0.9262084961;
207;0.9069824219;0.9252929688;
208;0.9121704102;0.9237670898;
209;0.9030151367;0.9240722656;
210;0.8963012695;0.9234619141;
211;0.9005737305;0.9225463867;
212;0.8966064453;0.924987793;
213;0.8883666992;0.9259033203;
214;0.8847045898;0.9283447266;
215;0.8856201172;0.9307861328;
216;0.8911132813;0.9326171875;
217;0.8947753906;0.9332275391;
218;0.8770751953;0.9323120117;
219;0.8670043945;0.9320068359;
220;0.8740234375;0.9323120117;
221;0.8786010742;0.9338378906;
222;0.8737182617;0.9341430664;
223;0.8807373047;0.9335327148;
224;0.8889770508;0.9335327148;
225;0.8938598633;0.934753418;
226;0.8908081055;0.9356689453;
227;0.8950805664;0.9356689453;
228;0.9106445313;0.9356689453;
229;0.9341430664;0.9371948242;
230;0.9396362305;0.9384155273;
231;0.9225463867;0.9381103516;
232;0.9167480469;0.9365844727;
233;0.9194946289;0.9356689453;
234;0.9191894531;0.9356689453;
235;0.9130859375;0.9356689453;
236;0.9164428711;0.9350585938;
237;0.9228515625;0.9350585938;
238;0.9255981445;0.9353637695;
239;0.9155273438;0.9365844727;
240;0.9030151367;0.9365844727;
241;0.9030151367;0.9368896484;
242;0.9030151367;0.9371948242;
243;0.8981323242;0.9384155273;
244;0.8883666992;0.9390258789;
245;0.8834838867;0.9399414063;
246;0.8926391602;0.9408569336;
247;0.8908081055;0.9417724609;
248;0.8868408203;0.9420776367;
249;0.8822631836;0.9411621094;
