id,x,y,w,h,score,area,energy,mask_file,crop
0,0,691,793,65,0.04512385762380336,37525,0.2023121387283237,2_mask_000.png,2_crop_000.jpg
1,0,0,1100,674,0.45747715247660237,380438,0.204739336492891,2_mask_001.png,2_crop_001.jpg
2,0,0,1100,682,0.5760630110623184,479054,0.21218961625282168,2_mask_002.png,2_crop_002.jpg
3,635,688,465,68,0.028231120731086783,23477,0.21666666666666667,2_mask_003.png,2_crop_003.jpg
4,0,0,1100,682,0.5519985569978932,459042,0.2246971473231731,2_mask_004.png,2_crop_004.jpg
5,0,0,1100,682,0.5220791245784968,434161,0.2260760551608859,2_mask_005.png,2_crop_005.jpg
6,648,688,452,68,0.024727032227002493,20563,0.23076923076923078,2_mask_006.png,2_crop_006.jpg
7,562,688,538,68,0.02992183742180144,24883,0.234375,2_mask_007.png,2_crop_007.jpg
8,0,693,1100,63,0.060857383357310176,50609,0.2420091324200913,2_mask_008.png,2_crop_008.jpg
9,562,695,538,61,0.02942640692637154,24471,0.24324324324324326,2_mask_009.png,2_crop_009.jpg
10,0,694,760,62,0.03940596440591702,32770,0.2517985611510791,2_mask_010.png,2_crop_010.jpg
11,196,692,904,64,0.04902837902832007,40772,0.2562814070351759,2_mask_011.png,2_crop_011.jpg
12,0,694,662,62,0.03341630591626573,27789,0.25862068965517243,2_mask_012.png,2_crop_012.jpg
13,701,695,399,61,0.021743626743600596,18082,0.275,2_mask_013.png,2_crop_013.jpg
14,852,698,248,58,0.012617845117829945,10493,0.28,2_mask_014.png,2_crop_014.jpg
15,196,693,597,63,0.02879148629145167,23943,0.2833333333333333,2_mask_015.png,2_crop_015.jpg
16,635,695,465,61,0.025247715247684887,20996,0.2916666666666667,2_mask_016.png,2_crop_016.jpg
17,433,0,667,307,0.1293253968252413,107547,0.30103806228373703,2_mask_017.png,2_crop_017.jpg
18,0,0,1100,674,0.4137457912452937,344071,0.309452736318408,2_mask_018.png,2_crop_018.jpg
19,196,693,882,63,0.04299422799417629,35754,0.3170731707317073,2_mask_019.png,2_crop_019.jpg
20,0,698,570,58,0.027851130351096858,23161,0.32558139534883723,2_mask_020.png,2_crop_020.jpg
21,0,0,1100,534,0.20576238576213834,171112,0.3258426966292135,2_mask_021.png,2_crop_021.jpg
22,0,35,83,261,0.018240740740718808,15169,0.3333333333333333,2_mask_022.png,2_crop_022.jpg
23,635,688,465,68,0.02311327561324782,19221,0.3333333333333333,2_mask_023.png,2_crop_023.jpg
24,218,698,575,58,0.025161135161104905,20924,0.3473684210526316,2_mask_024.png,2_crop_024.jpg
25,562,699,538,57,0.025503848003817334,21209,0.3488372093023256,2_mask_025.png,2_crop_025.jpg
26,119,33,647,572,0.09260942760931624,77014,0.3568281938325991,2_mask_026.png,2_crop_026.jpg
27,0,321,1100,361,0.202469937469694,168374,0.35984095427435386,2_mask_027.png,2_crop_027.jpg
28,196,692,882,64,0.04004930254925439,33305,0.3609467455621302,2_mask_028.png,2_crop_028.jpg
29,119,15,647,630,0.10382275132262647,86339,0.36153846153846153,2_mask_029.png,2_crop_029.jpg
30,119,33,647,572,0.08274050024040075,68807,0.3702770780856423,2_mask_030.png,2_crop_030.jpg
31,648,688,452,68,0.019488936988913554,16207,0.3707865168539326,2_mask_031.png,2_crop_031.jpg
32,0,386,233,254,0.0251743626743324,20935,0.3793103448275862,2_mask_032.png,2_crop_032.jpg
33,119,15,981,541,0.14286796536779356,118809,0.38011695906432746,2_mask_033.png,2_crop_033.jpg
34,30,0,1070,556,0.14629389129371537,121658,0.382183908045977,2_mask_034.png,2_crop_034.jpg
35,119,15,937,541,0.13594276094259747,113050,0.38323353293413176,2_mask_035.png,2_crop_035.jpg
36,30,0,609,556,0.09173160173149142,76284,0.38461538461538464,2_mask_036.png,2_crop_036.jpg
