id,x,y,w,h,score,area,energy,mask_file,crop
0,0,0,500,375,0.6990879999962715,131079,0.07142857142857142,2010_003781_mask_000.png,2010_003781_crop_000.jpg
1,0,0,393,269,0.23022933333210543,43168,0.15325994919559696,2010_003781_mask_001.png,2010_003781_crop_001.jpg
2,137,247,225,119,0.0747359999996014,14013,0.15625,2010_003781_mask_002.png,2010_003781_crop_002.jpg
3,10,83,281,186,0.14834666666587548,27815,0.15734720416124837,2010_003781_mask_003.png,2010_003781_crop_003.jpg
4,0,0,500,269,0.3194186666649631,59891,0.16160990712074302,2010_003781_mask_004.png,2010_003781_crop_004.jpg
5,137,225,227,141,0.08350933333288794,15658,0.16279069767441862,2010_003781_mask_005.png,2010_003781_crop_005.jpg
6,10,149,490,226,0.2781919999985163,52161,0.16942148760330578,2010_003781_mask_006.png,2010_003781_crop_006.jpg
7,224,157,276,218,0.15650666666583196,29345,0.17314487632508835,2010_003781_mask_007.png,2010_003781_crop_007.jpg
8,10,83,281,186,0.13934933333259014,26128,0.17456021650879566,2010_003781_mask_008.png,2010_003781_crop_008.jpg
9,224,157,276,218,0.16253866666579977,30476,0.17620137299771166,2010_003781_mask_009.png,2010_003781_crop_009.jpg
10,227,157,273,218,0.14371733333256684,26947,0.18122555410691005,2010_003781_mask_010.png,2010_003781_crop_010.jpg
11,0,0,500,269,0.29220266666510825,54788,0.1820580474934037,2010_003781_mask_011.png,2010_003781_crop_011.jpg
12,227,157,273,218,0.15616533333250043,29281,0.1827956989247312,2010_003781_mask_012.png,2010_003781_crop_012.jpg
13,0,0,500,269,0.25995199999861357,48741,0.18292682926829268,2010_003781_mask_013.png,2010_003781_crop_013.jpg
14,0,0,500,269,0.24429866666536373,45806,0.18506751389992057,2010_003781_mask_014.png,2010_003781_crop_014.jpg
15,10,192,354,174,0.12287999999934464,23040,0.1861198738170347,2010_003781_mask_015.png,2010_003781_crop_015.jpg
16,10,0,490,269,0.27246399999854687,51087,0.1862378459237098,2010_003781_mask_016.png,2010_003781_crop_016.jpg
17,137,192,227,174,0.0888053333328597,16651,0.19047619047619047,2010_003781_mask_017.png,2010_003781_crop_017.jpg
18,10,0,490,269,0.2468693333320167,46288,0.19086460032626426,2010_003781_mask_018.png,2010_003781_crop_018.jpg
19,0,0,373,269,0.18846933333232815,35338,0.1952428146679881,2010_003781_mask_019.png,2010_003781_crop_019.jpg
20,146,255,216,111,0.06151999999967189,11535,0.19607843137254902,2010_003781_mask_020.png,2010_003781_crop_020.jpg
21,227,157,273,218,0.14102399999924786,26442,0.20156046814044212,2010_003781_mask_021.png,2010_003781_crop_021.jpg
22,253,0,140,64,0.03339733333315521,6262,0.2028985507246377,2010_003781_mask_022.png,2010_003781_crop_022.jpg
23,0,221,364,145,0.10018133333279904,18784,0.20388349514563106,2010_003781_mask_023.png,2010_003781_crop_023.jpg
24,224,157,276,218,0.13925866666592396,26111,0.2041343669250646,2010_003781_mask_024.png,2010_003781_crop_024.jpg
25,10,0,425,269,0.22728533333212114,42616,0.2084063047285464,2010_003781_mask_025.png,2010_003781_crop_025.jpg
26,0,0,500,269,0.25588266666530196,47978,0.21011058451816747,2010_003781_mask_026.png,2010_003781_crop_026.jpg
27,0,0,387,269,0.2082719999988892,39051,0.2111111111111111,2010_003781_mask_027.png,2010_003781_crop_027.jpg
28,137,140,363,235,0.18139733333236588,34012,0.21192758253461128,2010_003781_mask_028.png,2010_003781_crop_028.jpg
29,10,140,490,235,0.2115199999988719,39660,0.21428571428571427,2010_003781_mask_029.png,2010_003781_crop_029.jpg
30,428,0,72,81,0.016826666666576923,3155,0.21739130434782608,2010_003781_mask_030.png,2010_003781_crop_030.jpg
31,227,157,273,218,0.13438399999928327,25197,0.2206703910614525,2010_003781_mask_031.png,2010_003781_crop_031.jpg
32,227,157,273,218,0.14373333333256674,26950,0.2230769230769231,2010_003781_mask_032.png,2010_003781_crop_032.jpg
33,0,221,364,154,0.1124746666660668,21089,0.22377622377622378,2010_003781_mask_033.png,2010_003781_crop_033.jpg
