pred_class,confidence,cat_prob,is_cat,predicted_label,image,id,x,y,w,h,score,area,energy,mask_file,crop,gt_is_cat,best_gt_idx,max_iou
556,0.08537863940000534,0.0021217654866632074,False,not cat,4,0,0,0,62,224,0.0320433880462669,11397.0,0.0869565217391304,4_mask_000.png,4_crop_000.jpg,False,-1,0.0
623,0.07798072695732117,0.0015568193484796211,False,not cat,4,1,534,0,100,238,0.0505209826974968,17969.0,0.0945273631840796,4_mask_001.png,4_crop_001.jpg,False,-1,0.0
556,0.06137768551707268,0.0018226290412712842,False,not cat,4,2,0,0,62,155,0.0228355179180293,8122.0,0.1020408163265306,4_mask_002.png,4_crop_002.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,3,0,0,634,561,0.6949791100819993,247186.0,0.1115864527629233,4_mask_003.png,4_crop_003.jpg,False,0,0.20383834635087186
285,0.09774976223707199,0.13853187067434192,True,cat,4,4,155,328,479,233,0.1176864207107697,41858.0,0.111984282907662,4_mask_004.png,4_crop_004.jpg,False,0,0.1607747451247423
765,0.2405054271221161,0.27032043889630586,True,cat,4,5,0,0,634,561,0.6806541945695197,242091.0,0.1132826637712631,4_mask_005.png,4_crop_005.jpg,False,0,0.20383834635087186
623,0.048409052193164825,0.003589493629988283,False,not cat,4,6,550,0,84,238,0.0394490460364281,14031.0,0.1153846153846153,4_mask_006.png,4_crop_006.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,7,0,0,634,561,0.6977316306485778,248165.0,0.1213832039520113,4_mask_007.png,4_crop_007.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,8,0,0,634,561,0.6087850109915013,216529.0,0.1224404513163393,4_mask_008.png,4_crop_008.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,9,0,0,634,561,0.6466230312009126,229987.0,0.1295100645651348,4_mask_009.png,4_crop_009.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,10,0,0,634,561,0.6251539330942797,222351.0,0.1337278106508875,4_mask_010.png,4_crop_010.jpg,False,0,0.20383834635087186
285,0.09774976223707199,0.13853187067434192,True,cat,4,11,155,328,479,233,0.1050203276030718,37353.0,0.1397379912663755,4_mask_011.png,4_crop_011.jpg,False,0,0.1607747451247423
765,0.2405054271221161,0.27032043889630586,True,cat,4,12,0,0,634,561,0.6309682462012096,224419.0,0.14251968503937,4_mask_012.png,4_crop_012.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,13,0,0,634,561,0.6161400608404995,219145.0,0.1440195280716029,4_mask_013.png,4_crop_013.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,14,0,0,634,561,0.6174867997081105,219624.0,0.1449451887941534,4_mask_014.png,4_crop_014.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,15,0,0,634,561,0.5481536463150296,194964.0,0.1491395793499044,4_mask_015.png,4_crop_015.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,16,0,0,634,561,0.5384340716483678,191507.0,0.151252408477842,4_mask_016.png,4_crop_016.jpg,False,0,0.20383834635087186
281,0.1780884563922882,0.3196581859374419,True,cat,4,17,88,0,546,561,0.4356489369466543,154949.0,0.1517801374141161,4_mask_017.png,4_crop_017.jpg,False,0,0.2366914131620014
556,0.09554627537727356,0.002039660990703851,False,not cat,4,18,0,0,62,210,0.0255936616114037,9103.0,0.1531531531531531,4_mask_018.png,4_crop_018.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,19,0,0,634,561,0.5552781479653973,197498.0,0.1548672566371681,4_mask_019.png,4_crop_019.jpg,False,0,0.20383834635087186
623,0.07798072695732117,0.0015568193484796211,False,not cat,4,20,534,0,100,238,0.0435595517242093,15493.0,0.1555555555555555,4_mask_020.png,4_crop_020.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,21,0,0,634,561,0.5659761466945405,201303.0,0.1597160603371783,4_mask_021.png,4_crop_021.jpg,False,0,0.20383834635087186
556,0.09554627537727356,0.002039660990703851,False,not cat,4,22,0,0,62,210,0.0255149378362615,9075.0,0.1607142857142857,4_mask_022.png,4_crop_022.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,23,0,0,634,561,0.564916187293519,200926.0,0.1649802023757149,4_mask_023.png,4_crop_023.jpg,False,0,0.20383834635087186
765,0.2405054271221161,0.27032043889630586,True,cat,4,24,0,0,634,561,0.5612527201860095,199623.0,0.1652739090064995,4_mask_024.png,4_crop_024.jpg,False,0,0.20383834635087186
765,0.4138680100440979,0.18715419579530135,True,cat,4,25,0,0,624,561,0.4870893008752759,173245.0,0.1702564102564102,4_mask_025.png,4_crop_025.jpg,False,0,0.20710498651675122
765,0.2405054271221161,0.27032043889630586,True,cat,4,26,0,0,634,561,0.5742168390138885,204234.0,0.1706036745406824,4_mask_026.png,4_crop_026.jpg,False,0,0.20383834635087186
765,0.4138680100440979,0.18715419579530135,True,cat,4,27,0,0,624,561,0.4732592205208329,168326.0,0.1734748010610079,4_mask_027.png,4_crop_027.jpg,False,0,0.20710498651675122
765,0.2405054271221161,0.27032043889630586,True,cat,4,28,0,0,634,561,0.4397116460566707,156394.0,0.181044957472661,4_mask_028.png,4_crop_028.jpg,False,0,0.20383834635087186
623,0.059261471033096313,0.001956416672328487,False,not cat,4,29,540,0,94,238,0.0360583005785183,12825.0,0.1823899371069182,4_mask_029.png,4_crop_029.jpg,False,-1,0.0
765,0.2405054271221161,0.27032043889630586,True,cat,4,30,0,0,634,561,0.4959541602689655,176398.0,0.1849496555378908,4_mask_030.png,4_crop_030.jpg,False,0,0.20383834635087186
556,0.06137768551707268,0.0018226290412712842,False,not cat,4,31,0,0,62,155,0.0183932477492917,6542.0,0.1851851851851851,4_mask_031.png,4_crop_031.jpg,False,-1,0.0
556,0.06137768551707268,0.0018226290412712842,False,not cat,4,32,0,0,62,155,0.0183313933545372,6520.0,0.1951219512195122,4_mask_032.png,4_crop_032.jpg,False,-1,0.0
281,0.24623419344425201,0.4638810425531119,True,cat,4,33,88,0,546,481,0.3608107424204164,128331.0,0.1953488372093023,4_mask_033.png,4_crop_033.jpg,False,0,0.27605796836566066
765,0.2041763812303543,0.3212677070405334,True,cat,4,34,23,0,601,561,0.518477594649824,184409.0,0.1954242135367016,4_mask_034.png,4_crop_034.jpg,False,0,0.21503080130857366
914,0.045269399881362915,0.0018103412148775533,False,not cat,4,35,0,0,62,77,0.0109847781957326,3907.0,0.2,4_mask_035.png,4_crop_035.jpg,False,-1,0.0
281,0.20260223746299744,0.47468289255630225,True,cat,4,36,103,143,531,418,0.3522664012540915,125292.0,0.214230471771075,4_mask_036.png,4_crop_036.jpg,False,0,0.3221707347737845
765,0.4138680100440979,0.18715419579530135,True,cat,4,37,0,0,624,561,0.4548800305885308,161789.0,0.2164835164835165,4_mask_037.png,4_crop_037.jpg,False,0,0.20710498651675122
281,0.2504863739013672,0.45377190178260207,True,cat,4,38,30,0,604,523,0.3934220662730662,139930.0,0.2167352537722908,4_mask_038.png,4_crop_038.jpg,False,0,0.22950881946994542
281,0.1292235553264618,0.26408102217828855,True,cat,4,39,103,143,409,327,0.2468271507047272,87790.0,0.2201722017220172,4_mask_039.png,4_crop_039.jpg,True,0,0.5334850140899526
765,0.3022249639034271,0.2565000910544768,True,cat,4,40,103,41,531,520,0.3913555671755839,139195.0,0.2295882763433356,4_mask_040.png,4_crop_040.jpg,False,0,0.26256699985513543
281,0.2174607217311859,0.5048792605521157,True,cat,4,41,103,0,409,470,0.2846089396461799,101228.0,0.2343584305408271,4_mask_041.png,4_crop_041.jpg,False,0,0.37715236955730114
451,0.09142305701971054,0.0020410556317074224,False,not cat,4,42,550,0,84,170,0.0208449310322912,7414.0,0.2345679012345679,4_mask_042.png,4_crop_042.jpg,False,-1,0.0
556,0.06137768551707268,0.0018226290412712842,False,not cat,4,43,0,0,62,155,0.0159612454100778,5677.0,0.2394366197183098,4_mask_043.png,4_crop_043.jpg,False,-1,0.0
281,0.2174607217311859,0.5048792605521157,True,cat,4,44,103,0,409,470,0.3024286284622929,107566.0,0.2423945044160942,4_mask_044.png,4_crop_044.jpg,False,0,0.37715236955730114
765,0.2041763812303543,0.3212677070405334,True,cat,4,45,23,0,601,561,0.468400838969201,166598.0,0.2570532915360501,4_mask_045.png,4_crop_045.jpg,False,0,0.21503080130857366
281,0.22189690172672272,0.4976242072880268,True,cat,4,46,103,0,409,467,0.2690103859144356,95680.0,0.2604284103720405,4_mask_046.png,4_crop_046.jpg,False,0,0.37957518991848294
765,0.2041763812303543,0.3212677070405334,True,cat,4,47,23,0,601,561,0.4060178702958157,144410.0,0.2661339889366933,4_mask_047.png,4_crop_047.jpg,False,0,0.21503080130857366
451,0.24678049981594086,0.0017373271693941206,False,not cat,4,48,559,0,75,116,0.0143952045974279,5120.0,0.2692307692307692,4_mask_048.png,4_crop_048.jpg,False,-1,0.0
914,0.05260581895709038,0.001875567773822695,False,not cat,4,49,0,0,62,81,0.0110578788440789,3933.0,0.2765957446808511,4_mask_049.png,4_crop_049.jpg,False,-1,0.0
285,0.2168172150850296,0.4726508283056319,True,cat,4,50,30,101,594,415,0.2872180704794637,102156.0,0.2790484903934126,4_mask_050.png,4_crop_050.jpg,False,0,0.2941057157924628
281,0.186248779296875,0.43063702527433634,True,cat,4,51,30,101,594,449,0.2986611335090598,106226.0,0.2935153583617747,4_mask_051.png,4_crop_051.jpg,False,0,0.2718349043516081
765,0.24200257658958435,0.26487822423223406,True,cat,4,52,24,0,584,561,0.4137018730623725,147143.0,0.2960822093770071,4_mask_052.png,4_crop_052.jpg,False,0,0.22129025956584378
281,0.14271193742752075,0.25063321564812213,True,cat,4,53,103,143,409,324,0.2257797871077847,80304.0,0.3052917232021709,4_mask_053.png,4_crop_053.jpg,True,0,0.538396890429667
