id,x,y,w,h,score,area,energy,mask_file,crop
0,610,0,290,420,0.12083148148125772,65249,0.19728506787330316,7_mask_000.png,7_crop_000.jpg
1,610,0,290,420,0.1321388888886442,71355,0.19831932773109243,7_mask_001.png,7_crop_001.jpg
2,610,0,290,398,0.10842222222202144,58548,0.21656686626746507,7_mask_002.png,7_crop_002.jpg
3,610,0,290,420,0.11750555555533795,63453,0.22611617858857416,7_mask_003.png,7_crop_003.jpg
4,610,0,290,420,0.12509999999976834,67554,0.22627737226277372,7_mask_004.png,7_crop_004.jpg
5,610,0,290,414,0.12789259259235575,69062,0.22846781504986402,7_mask_005.png,7_crop_005.jpg
6,0,0,253,600,0.12212592592569976,65948,0.23107307439104674,7_mask_006.png,7_crop_006.jpg
7,0,0,434,600,0.13820925925900332,74633,0.23214285714285715,7_mask_007.png,7_crop_007.jpg
8,610,0,290,398,0.106240740740544,57370,0.23554153522607782,7_mask_008.png,7_crop_008.jpg
9,0,0,253,600,0.11242407407386588,60709,0.23715693173821253,7_mask_009.png,7_crop_009.jpg
10,0,0,256,600,0.12427407407384393,67108,0.2379158819836786,7_mask_010.png,7_crop_010.jpg
11,0,0,253,600,0.11391851851830756,61516,0.24035206499661477,7_mask_011.png,7_crop_011.jpg
12,0,44,203,402,0.06537592592580486,35303,0.24081632653061225,7_mask_012.png,7_crop_012.jpg
13,610,0,290,398,0.10841296296276219,58543,0.25444388014220415,7_mask_013.png,7_crop_013.jpg
14,0,24,203,449,0.07188333333320021,38817,0.25495049504950495,7_mask_014.png,7_crop_014.jpg
15,610,0,290,420,0.10380370370351147,56054,0.26244106862231537,7_mask_015.png,7_crop_015.jpg
16,0,160,434,440,0.09444074074056585,50998,0.26865671641791045,7_mask_016.png,7_crop_016.jpg
17,0,24,434,576,0.1255388888886564,67791,0.2692307692307692,7_mask_017.png,7_crop_017.jpg
18,610,0,290,398,0.09653703703685826,52130,0.27519818799546997,7_mask_018.png,7_crop_018.jpg
19,609,0,291,420,0.10831296296276238,58489,0.27702362996480645,7_mask_019.png,7_crop_019.jpg
20,86,179,814,421,0.30254629629573604,163375,0.2777777777777778,7_mask_020.png,7_crop_020.jpg
21,609,0,291,398,0.09501666666649071,51309,0.27990708478513354,7_mask_021.png,7_crop_021.jpg
22,0,24,434,576,0.10521296296276812,56815,0.28252299605781866,7_mask_022.png,7_crop_022.jpg
23,610,0,290,398,0.09804999999981842,52947,0.28314606741573034,7_mask_023.png,7_crop_023.jpg
24,0,24,203,449,0.07523333333319401,40626,0.28361581920903955,7_mask_024.png,7_crop_024.jpg
25,0,24,253,576,0.10362222222203032,55956,0.28463855421686746,7_mask_025.png,7_crop_025.jpg
26,610,0,290,398,0.10288518518499466,55558,0.28509719222462204,7_mask_026.png,7_crop_026.jpg
27,0,24,434,576,0.11496666666645376,62082,0.28610354223433243,7_mask_027.png,7_crop_027.jpg
28,610,0,290,398,0.09151111111094165,49416,0.28807339449541286,7_mask_028.png,7_crop_028.jpg
29,564,63,336,537,0.13983333333307438,75510,0.2896844088553933,7_mask_029.png,7_crop_029.jpg
30,0,128,147,318,0.03777592592585597,20399,0.2902097902097902,7_mask_030.png,7_crop_030.jpg
31,685,0,215,398,0.08044814814799917,43442,0.29120879120879123,7_mask_031.png,7_crop_031.jpg
32,0,24,434,576,0.11913518518496456,64333,0.2954838709677419,7_mask_032.png,7_crop_032.jpg
33,0,24,253,576,0.1013611111109234,54735,0.29874213836477986,7_mask_033.png,7_crop_033.jpg
34,0,24,203,451,0.07500925925912036,40505,0.30424242424242426,7_mask_034.png,7_crop_034.jpg
35,610,0,290,414,0.11460185185163962,61885,0.30507587650444795,7_mask_035.png,7_crop_035.jpg
