pred_class,confidence,cat_prob,is_cat,predicted_label,image,id,x,y,w,h,score,area,energy,mask_file,crop,gt_is_cat,best_gt_idx,max_iou
41,0.033254094421863556,0.0030737196502741426,False,not cat,9,0,0,97,640,329,0.493302523472369,134494.0,0.0896168108776267,9_mask_000.png,9_crop_000.jpg,False,0,0.03667363221884498
86,0.06541746109724045,0.0017823733360273764,False,not cat,9,1,0,0,640,426,0.6859925176031176,187029.0,0.0994152046783625,9_mask_001.png,9_crop_001.jpg,False,0,0.02832306338028169
279,0.037187982350587845,0.002572328958194703,False,not cat,9,2,0,35,640,391,0.5409330985895652,147480.0,0.1036446469248291,9_mask_002.png,9_crop_002.jpg,False,0,0.030858375959079285
86,0.06541746109724045,0.0017823733360273764,False,not cat,9,3,0,0,640,426,0.6077904929555172,165708.0,0.11738746690203,9_mask_003.png,9_crop_003.jpg,False,0,0.02832306338028169
86,0.06541746109724045,0.0017823733360273764,False,not cat,9,4,0,0,640,426,0.6723884976501159,183320.0,0.1202909846713432,9_mask_004.png,9_crop_004.jpg,False,0,0.02832306338028169
341,0.02230149880051613,0.0036058150290045887,False,not cat,9,5,0,126,640,300,0.4430274354443844,120787.0,0.142547033285094,9_mask_005.png,9_crop_005.jpg,False,0,0.022767774841762428
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,6,0,139,640,287,0.3900234741769732,106336.0,0.1546565528866413,9_mask_006.png,9_crop_006.jpg,False,0,0.015519134960764444
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,7,0,0,640,304,0.4489693368528133,122407.0,0.1554426090639559,9_mask_007.png,9_crop_007.jpg,False,0,0.03968955592105263
86,0.06541746109724045,0.0017823733360273764,False,not cat,9,8,0,0,640,426,0.6172865316878767,168297.0,0.1708441371362719,9_mask_008.png,9_crop_008.jpg,False,0,0.02832306338028169
41,0.047694429755210876,0.0024775285564828664,False,not cat,9,9,81,261,559,165,0.2253301056329763,61434.0,0.1709844559585492,9_mask_009.png,9_crop_009.jpg,False,-1,0.0
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,10,0,139,640,287,0.4158303990595076,113372.0,0.1717171717171717,9_mask_010.png,9_crop_010.jpg,False,0,0.015519134960764444
279,0.05056691914796829,0.003298972558695823,False,not cat,9,11,81,273,559,153,0.2059125586846907,56140.0,0.173828125,9_mask_011.png,9_crop_011.jpg,False,-1,0.0
279,0.058377254754304886,0.001945885072927922,False,not cat,9,12,0,0,640,301,0.4216659330970449,114963.0,0.1792828685258964,9_mask_012.png,9_crop_012.jpg,False,0,0.04008513289036545
331,0.07603500038385391,0.0062010062974877656,False,not cat,9,13,257,0,383,287,0.2324273767597108,63369.0,0.1847457627118644,9_mask_013.png,9_crop_013.jpg,False,0,0.07025045259777477
80,0.06231910362839699,0.002023359324084595,False,not cat,9,14,0,0,640,291,0.4070239143177559,110971.0,0.1881954523463957,9_mask_014.png,9_crop_014.jpg,False,0,0.04146262886597938
41,0.030127376317977905,0.0036422787234187126,False,not cat,9,15,0,143,640,283,0.3841219190126756,104727.0,0.1926211926211926,9_mask_015.png,9_crop_015.jpg,False,0,0.013182391286852483
279,0.08373259007930756,0.001952777456608601,False,not cat,9,16,0,0,640,287,0.3831316021112708,104457.0,0.1940457203615098,9_mask_016.png,9_crop_016.jpg,False,0,0.04204050522648083
279,0.08373259007930756,0.001952777456608601,False,not cat,9,17,0,0,640,287,0.3566644659611331,97241.0,0.1980252331321996,9_mask_017.png,9_crop_017.jpg,False,0,0.04204050522648083
279,0.058377254754304886,0.001945885072927922,False,not cat,9,18,0,0,640,301,0.4143705985900294,112974.0,0.1983161833489242,9_mask_018.png,9_crop_018.jpg,False,0,0.04008513289036545
287,0.04409944638609886,0.005523543106392026,False,not cat,9,19,257,0,383,275,0.2522483861493095,68773.0,0.2028413575374901,9_mask_019.png,9_crop_019.jpg,False,0,0.0733159268929504
279,0.051787178963422775,0.002230534824775532,False,not cat,9,20,0,0,640,294,0.3909404342708665,106586.0,0.2042042042042042,9_mask_020.png,9_crop_020.jpg,False,0,0.041039540816326534
287,0.053965505212545395,0.00874134968034923,False,not cat,9,21,331,0,309,275,0.18499119718242,50436.0,0.2042553191489361,9_mask_021.png,9_crop_021.jpg,False,0,0.09087378640776698
331,0.08254358917474747,0.006305920600425452,False,not cat,9,22,126,0,514,287,0.3223884976513997,87896.0,0.2049689440993788,9_mask_022.png,9_crop_022.jpg,False,0,0.0523461543676026
279,0.018384376540780067,0.002919808146543801,False,not cat,9,23,164,261,476,165,0.2104826877926552,57386.0,0.2061657032755298,9_mask_023.png,9_crop_023.jpg,False,-1,0.0
287,0.04409944638609886,0.005523543106392026,False,not cat,9,24,257,0,383,275,0.2043243838020674,55707.0,0.2127872127872128,9_mask_024.png,9_crop_024.jpg,False,0,0.0733159268929504
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,25,0,139,640,287,0.3557438380268642,96990.0,0.2138126773888363,9_mask_025.png,9_crop_025.jpg,False,0,0.015519134960764444
70,0.04527709260582924,0.003928076010197401,False,not cat,9,26,81,183,559,243,0.2721317488252929,74194.0,0.2148355493351994,9_mask_026.png,9_crop_026.jpg,False,-1,0.0
41,0.028674660250544548,0.004015541111584753,False,not cat,9,27,48,143,592,283,0.318981073942492,86967.0,0.2157073695535234,9_mask_027.png,9_crop_027.jpg,False,0,0.01421866771604331
41,0.03666266053915024,0.0035179594124201685,False,not cat,9,28,9,143,631,283,0.3278315727687506,89380.0,0.2213029989658738,9_mask_028.png,9_crop_028.jpg,False,0,0.013365027905003319
41,0.047694429755210876,0.0024775285564828664,False,not cat,9,29,81,261,559,165,0.2246515551634952,61249.0,0.2214411247803163,9_mask_029.png,9_crop_029.jpg,False,-1,0.0
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,30,0,0,640,304,0.3794637617356974,103457.0,0.2234468937875751,9_mask_030.png,9_crop_030.jpg,False,0,0.03968955592105263
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,31,0,0,640,304,0.3708223298108464,101101.0,0.2299140980293077,9_mask_031.png,9_crop_031.jpg,False,0,0.03968955592105263
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,32,0,139,640,287,0.3404196009377185,92812.0,0.2321083172147001,9_mask_032.png,9_crop_032.jpg,False,0,0.015519134960764444
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,33,0,0,640,304,0.4074677230032003,111092.0,0.2337721289151157,9_mask_033.png,9_crop_033.jpg,False,0,0.03968955592105263
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,34,0,0,640,304,0.414425616195663,112989.0,0.2375639237563923,9_mask_034.png,9_crop_034.jpg,False,0,0.03968955592105263
279,0.028540633618831635,0.0033551445812918246,False,not cat,9,35,83,293,557,133,0.1809602406096649,49337.0,0.2405372405372405,9_mask_035.png,9_crop_035.jpg,False,-1,0.0
533,0.02914777398109436,0.004258980043232441,False,not cat,9,36,83,304,557,122,0.1669564260557256,45519.0,0.2437673130193905,9_mask_036.png,9_crop_036.jpg,False,-1,0.0
279,0.058377254754304886,0.001945885072927922,False,not cat,9,37,0,0,640,301,0.3405076291067322,92836.0,0.2438478747203579,9_mask_037.png,9_crop_037.jpg,False,0,0.04008513289036545
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,38,0,0,640,304,0.4274611208904509,116543.0,0.2444861567339277,9_mask_038.png,9_crop_038.jpg,False,0,0.03968955592105263
279,0.05164898931980133,0.0032735245767980814,False,not cat,9,39,81,289,559,137,0.1751393779336299,47750.0,0.2445019404915912,9_mask_039.png,9_crop_039.jpg,False,-1,0.0
41,0.03593674674630165,0.003699621476698667,False,not cat,9,40,0,139,640,233,0.225487822769126,61477.0,0.2451456310679611,9_mask_040.png,9_crop_040.jpg,False,0,0.019003748773689717
86,0.06541746109724045,0.0017823733360273764,False,not cat,9,41,0,0,640,426,0.4929614143174407,134401.0,0.2462772050400916,9_mask_041.png,9_crop_041.jpg,False,0,0.02832306338028169
279,0.08373259007930756,0.001952777456608601,False,not cat,9,42,0,0,640,287,0.3687389964775207,100533.0,0.2465526751241037,9_mask_042.png,9_crop_042.jpg,False,0,0.04204050522648083
41,0.05236292630434036,0.004095278854947537,False,not cat,9,43,73,170,567,256,0.2823576877923915,76982.0,0.2470433639947437,9_mask_043.png,9_crop_043.jpg,False,-1,0.0
41,0.02428373321890831,0.00408392894314602,False,not cat,9,44,14,143,626,283,0.3308245305152185,90196.0,0.2517223105458399,9_mask_044.png,9_crop_044.jpg,False,0,0.013468696381486983
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,45,0,139,640,287,0.3559382335667695,97043.0,0.2568003688335638,9_mask_045.png,9_crop_045.jpg,False,0,0.015519134960764444
41,0.02428373321890831,0.00408392894314602,False,not cat,9,46,14,143,626,283,0.3058575410786903,83389.0,0.2568433313919627,9_mask_046.png,9_crop_046.jpg,False,0,0.013468696381486983
62,0.055792633444070816,0.002202787160058506,False,not cat,9,47,257,0,383,105,0.0914025821592891,24920.0,0.2577903682719547,9_mask_047.png,9_crop_047.jpg,False,0,0.017381892270469886
279,0.058377254754304886,0.001945885072927922,False,not cat,9,48,0,0,640,301,0.3552633509376641,96859.0,0.2578339747113798,9_mask_048.png,9_crop_048.jpg,False,0,0.04008513289036545
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,49,0,139,640,287,0.3767899061019044,102728.0,0.2581364244315648,9_mask_049.png,9_crop_049.jpg,False,0,0.015519134960764444
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,50,0,0,640,304,0.340569982393117,92853.0,0.2617377226119806,9_mask_050.png,9_crop_050.jpg,False,0,0.03968955592105263
279,0.058377254754304886,0.001945885072927922,False,not cat,9,51,0,0,640,301,0.334250293426004,91130.0,0.2637549631310266,9_mask_051.png,9_crop_051.jpg,False,0,0.04008513289036545
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,52,0,139,640,287,0.3681007922521709,100359.0,0.2639269406392694,9_mask_052.png,9_crop_052.jpg,False,0,0.015519134960764444
41,0.03593674674630165,0.003699621476698667,False,not cat,9,53,0,139,640,233,0.2306521420179333,62885.0,0.2654812998160638,9_mask_053.png,9_crop_053.jpg,False,0,0.019003748773689717
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,54,0,139,640,287,0.3473078051630454,94690.0,0.2661008487269096,9_mask_054.png,9_crop_054.jpg,False,0,0.015519134960764444
41,0.03593674674630165,0.003699621476698667,False,not cat,9,55,0,139,640,233,0.2419490903746994,65965.0,0.2667834208990076,9_mask_055.png,9_crop_055.jpg,False,0,0.019003748773689717
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,56,0,0,640,304,0.3282313673696881,89489.0,0.2705749718151071,9_mask_056.png,9_crop_056.jpg,False,0,0.03968955592105263
41,0.05788515880703926,0.0036551631637848914,False,not cat,9,57,81,143,559,283,0.2861355633792322,78012.0,0.2722741433021807,9_mask_057.png,9_crop_057.jpg,False,0,0.015031016383012566
279,0.08250018209218979,0.0021253035229165107,False,not cat,9,58,0,0,640,275,0.3331426056325809,90828.0,0.273900293255132,9_mask_058.png,9_crop_058.jpg,False,0,0.043875
279,0.08250018209218979,0.0021253035229165107,False,not cat,9,59,0,0,640,275,0.3484191607968441,94993.0,0.274914089347079,9_mask_059.png,9_crop_059.jpg,False,0,0.043875
279,0.08250018209218979,0.0021253035229165107,False,not cat,9,60,0,0,640,275,0.3589642018766176,97868.0,0.2767402376910017,9_mask_060.png,9_crop_060.jpg,False,0,0.043875
279,0.04698783904314041,0.0021257043117657304,False,not cat,9,61,114,0,526,304,0.3243141138485757,88421.0,0.2780034822983169,9_mask_061.png,9_crop_061.jpg,False,0,0.048291474884930956
279,0.058377254754304886,0.001945885072927922,False,not cat,9,62,0,0,640,301,0.296944688966047,80959.0,0.2827058072750478,9_mask_062.png,9_crop_062.jpg,False,0,0.04008513289036545
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,63,0,0,640,304,0.3599618544587736,98140.0,0.2865853658536585,9_mask_063.png,9_crop_063.jpg,False,0,0.03968955592105263
279,0.052810944616794586,0.0020920717652188614,False,not cat,9,64,0,0,640,304,0.3636480340362248,99145.0,0.2879795396419437,9_mask_064.png,9_crop_064.jpg,False,0,0.03968955592105263
41,0.02428373321890831,0.00408392894314602,False,not cat,9,65,14,143,626,283,0.3042877053979449,82961.0,0.2881159420289855,9_mask_065.png,9_crop_065.jpg,False,0,0.013468696381486983
341,0.02680593729019165,0.0031613810861017555,False,not cat,9,66,0,139,640,287,0.2437169894357257,66447.0,0.2895981087470449,9_mask_066.png,9_crop_066.jpg,False,0,0.015519134960764444
341,0.022370008751749992,0.0033604790514800698,False,not cat,9,67,0,139,640,279,0.2407643779333892,65642.0,0.2917166866746699,9_mask_067.png,9_crop_067.jpg,False,0,0.015952486133608206
20,0.037173107266426086,0.003597225935664028,False,not cat,9,68,99,309,541,117,0.1376907276990255,37540.0,0.3067150635208711,9_mask_068.png,9_crop_068.jpg,False,-1,0.0
279,0.018384376540780067,0.002919808146543801,False,not cat,9,69,164,261,476,165,0.1829372065720989,49876.0,0.30672748004561,9_mask_069.png,9_crop_069.jpg,False,-1,0.0
