epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40841,2.9472,5.50248,4.391,0,0,0,0,3.37884,5.96473,4.1588,0,0,0
2,2.08168,2.9745,5.68914,4.28246,0,0,0,0,3.37901,5.9648,4.15873,1.17822e-06,1.17822e-06,1.17822e-06
3,2.73683,3.27099,5.46481,4.25838,0,0,0,0,3.37919,5.96487,4.15863,2.33288e-06,2.33288e-06,2.33288e-06
4,3.34488,3.39348,5.54359,4.37989,0,0,0,0,3.37937,5.96504,4.15855,3.46397e-06,3.46397e-06,3.46397e-06
5,3.99029,3.66562,5.60134,4.29329,0,0,0,0,3.37954,5.96524,4.15848,4.5715e-06,4.5715e-06,4.5715e-06
6,4.64091,3.18145,5.42129,4.29419,0,0,0,0,3.3797,5.96526,4.15841,5.65548e-06,5.65548e-06,5.65548e-06
7,5.28463,3.26501,5.74726,4.27789,0,0,0,0,3.37988,5.96549,4.15834,6.71588e-06,6.71588e-06,6.71588e-06
8,5.92664,3.23547,5.4197,4.27271,0,0,0,0,3.38006,5.96564,4.15826,7.75273e-06,7.75273e-06,7.75273e-06
9,6.5879,3.21666,5.55536,4.26128,0,0,0,0,3.38023,5.96587,4.15819,8.76602e-06,8.76602e-06,8.76602e-06
10,7.32651,3.03535,5.6241,4.23461,0,0,0,0,3.38039,5.96618,4.15813,9.75574e-06,9.75574e-06,9.75574e-06
11,7.95545,2.94496,5.55201,4.23325,0,0,0,0,3.38056,5.96629,4.15806,1.07219e-05,1.07219e-05,1.07219e-05
12,8.5489,3.67844,5.55848,4.29559,0,0,0,0,3.38071,5.96641,4.158,1.16645e-05,1.16645e-05,1.16645e-05
13,9.22492,3.39512,5.402,4.28692,0,0,0,0,3.38088,5.96662,4.15792,1.25835e-05,1.25835e-05,1.25835e-05
14,9.83297,3.45264,5.3699,4.26213,0,0,0,0,3.38103,5.96741,4.15785,1.3479e-05,1.3479e-05,1.3479e-05
15,10.4429,3.41247,6.04524,4.32588,0,0,0,0,3.38119,5.96769,4.15779,1.43509e-05,1.43509e-05,1.43509e-05
