epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0712,1.12262,3.17384,1.17209,0.95396,0.88543,0.95213,0.71925,0.85556,2.70783,0.94456,0.000663333,0.000663333,0.000663333
2,128.584,1.07797,1.79765,1.17583,0.99689,0.96581,0.99377,0.71912,1.02537,1.18635,1.09483,0.00126417,0.00126417,0.00126417
3,193.084,1.10463,1.08254,1.18708,0.99691,0.96581,0.99252,0.75582,1.06942,0.86262,1.11026,0.001799,0.001799,0.001799
4,257.881,1.05375,0.86832,1.15555,0.96429,0.95726,0.98573,0.72863,1.02516,0.74573,1.09422,0.001703,0.001703,0.001703
5,322.233,0.98358,0.70373,1.11738,0.96429,0.69248,0.76098,0.62085,0.99872,1.39991,1.08835,0.001604,0.001604,0.001604
6,384.953,0.88031,0.65677,1.06145,1,0.99972,0.995,0.8517,0.69512,0.48117,0.90545,0.001505,0.001505,0.001505
7,447.271,0.83004,0.60571,1.04168,0.99914,1,0.995,0.83823,0.72059,0.46278,0.92168,0.001406,0.001406,0.001406
8,509.22,0.79643,0.55538,1.01321,0.97815,0.88889,0.94717,0.75476,0.85222,0.66872,1.05195,0.001307,0.001307,0.001307
9,572.333,0.75537,0.51281,1.01535,0.98297,0.98686,0.99466,0.88773,0.54663,0.40586,0.87681,0.001208,0.001208,0.001208
10,635.622,0.6842,0.47869,0.98103,0.98932,0.99145,0.99474,0.8757,0.60061,0.41822,0.88629,0.001109,0.001109,0.001109
