pred_class,confidence,cat_prob,is_cat,predicted_label,image,id,x,y,w,h,score,area,energy,mask_file,crop,gt_is_cat,best_gt_idx,max_iou
-1,0.0,0.0,False,error,2010_003781,0,0,124,500,251,0.4260586666643943,79886.0,0.1455108359133126,2010_003781_mask_000.png,2010_003781_crop_000.jpg,False,0,0.2606604705155168
-1,0.0,0.0,False,error,2010_003781,1,226,158,274,217,0.2108533333322087,39535.0,0.2066666666666666,2010_003781_mask_001.png,2010_003781_crop_001.jpg,False,0,0.03355972016544963
-1,0.0,0.0,False,error,2010_003781,2,109,158,391,217,0.2598773333319473,48727.0,0.2103896103896103,2010_003781_mask_002.png,2010_003781_crop_002.jpg,False,0,0.14145822437827993
-1,0.0,0.0,False,error,2010_003781,3,332,0,168,113,0.042858666666438,8036.0,0.2212389380530973,2010_003781_mask_003.png,2010_003781_crop_003.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,4,300,0,200,113,0.0474186666664137,8891.0,0.2222222222222222,2010_003781_mask_004.png,2010_003781_crop_004.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,5,0,150,500,225,0.3701066666646928,69395.0,0.2269230769230769,2010_003781_mask_005.png,2010_003781_crop_005.jpg,False,0,0.2233255343617401
-1,0.0,0.0,False,error,2010_003781,6,0,138,500,237,0.3379039999981978,63357.0,0.2298850574712643,2010_003781_mask_006.png,2010_003781_crop_006.jpg,False,0,0.2410297318019532
-1,0.0,0.0,False,error,2010_003781,7,0,158,500,217,0.2995733333317356,56170.0,0.2422062350119904,2010_003781_mask_007.png,2010_003781_crop_007.jpg,False,0,0.21104134256535093
-1,0.0,0.0,False,error,2010_003781,8,0,0,500,289,0.4349279999976804,81549.0,0.2446700507614213,2010_003781_mask_008.png,2010_003781_crop_008.jpg,False,0,0.28887889273356404
-1,0.0,0.0,False,error,2010_003781,9,226,158,274,217,0.2157866666655158,40460.0,0.2491694352159468,2010_003781_mask_009.png,2010_003781_crop_009.jpg,False,0,0.03355972016544963
-1,0.0,0.0,False,error,2010_003781,10,0,138,500,237,0.3349866666648801,62810.0,0.251937984496124,2010_003781_mask_010.png,2010_003781_crop_010.jpg,False,0,0.2410297318019532
-1,0.0,0.0,False,error,2010_003781,11,109,158,391,217,0.1983199999989423,37185.0,0.2584269662921348,2010_003781_mask_011.png,2010_003781_crop_011.jpg,False,0,0.14145822437827993
-1,0.0,0.0,False,error,2010_003781,12,0,158,500,217,0.2601119999986127,48771.0,0.2972972972972973,2010_003781_mask_012.png,2010_003781_crop_012.jpg,False,0,0.21104134256535093
-1,0.0,0.0,False,error,2010_003781,13,109,195,283,164,0.1450346666658931,27194.0,0.313953488372093,2010_003781_mask_013.png,2010_003781_crop_013.jpg,False,0,0.13101882144644164
-1,0.0,0.0,False,error,2010_003781,14,0,0,388,266,0.2305866666654368,43235.0,0.3186274509803921,2010_003781_mask_014.png,2010_003781_crop_014.jpg,False,0,0.40445508100147276
-1,0.0,0.0,False,error,2010_003781,15,0,138,500,237,0.2814559999984989,52773.0,0.3303964757709251,2010_003781_mask_015.png,2010_003781_crop_015.jpg,False,0,0.2410297318019532
-1,0.0,0.0,False,error,2010_003781,16,0,0,500,275,0.2542559999986439,47673.0,0.3345521023765996,2010_003781_mask_016.png,2010_003781_crop_016.jpg,False,0,0.30358545454545455
-1,0.0,0.0,False,error,2010_003781,17,0,0,413,266,0.2233866666654752,41885.0,0.3392857142857143,2010_003781_mask_017.png,2010_003781_crop_017.jpg,False,0,0.37997232791421653
-1,0.0,0.0,False,error,2010_003781,18,109,158,391,217,0.1618399999991368,30345.0,0.3486842105263157,2010_003781_mask_018.png,2010_003781_crop_018.jpg,False,0,0.14145822437827993
-1,0.0,0.0,False,error,2010_003781,19,226,150,274,225,0.1530026666658506,28688.0,0.3507462686567164,2010_003781_mask_019.png,2010_003781_crop_019.jpg,False,0,0.03538989975865971
-1,0.0,0.0,False,error,2010_003781,20,0,0,500,266,0.2446026666653621,45863.0,0.3528265107212475,2010_003781_mask_020.png,2010_003781_crop_020.jpg,False,0,0.31385714285714283
-1,0.0,0.0,False,error,2010_003781,21,0,195,392,180,0.20686933333223,38788.0,0.3536121673003802,2010_003781_mask_021.png,2010_003781_crop_021.jpg,False,0,0.17891035061935756
-1,0.0,0.0,False,error,2010_003781,22,0,158,500,217,0.2434986666653679,45656.0,0.3543307086614173,2010_003781_mask_022.png,2010_003781_crop_022.jpg,False,0,0.21104134256535093
-1,0.0,0.0,False,error,2010_003781,23,0,138,500,237,0.3033546666650488,56879.0,0.358744394618834,2010_003781_mask_023.png,2010_003781_crop_023.jpg,False,0,0.2410297318019532
-1,0.0,0.0,False,error,2010_003781,24,0,158,500,217,0.1936586666656338,36311.0,0.3609958506224066,2010_003781_mask_024.png,2010_003781_crop_024.jpg,False,0,0.21104134256535093
-1,0.0,0.0,False,error,2010_003781,25,0,37,76,238,0.043434666666435,8144.0,0.3647058823529411,2010_003781_mask_025.png,2010_003781_crop_025.jpg,False,0,0.22914312714423649
-1,0.0,0.0,False,error,2010_003781,26,0,0,500,266,0.2901386666651192,54401.0,0.3658536585365853,2010_003781_mask_026.png,2010_003781_crop_026.jpg,False,0,0.31385714285714283
-1,0.0,0.0,False,error,2010_003781,27,300,0,160,110,0.0385119999997946,7221.0,0.3696969696969697,2010_003781_mask_027.png,2010_003781_crop_027.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,28,0,0,500,266,0.2746773333318684,51502.0,0.3709401709401709,2010_003781_mask_028.png,2010_003781_crop_028.jpg,False,0,0.31385714285714283
-1,0.0,0.0,False,error,2010_003781,29,93,158,407,217,0.1469706666658828,27557.0,0.3714285714285714,2010_003781_mask_029.png,2010_003781_crop_029.jpg,False,0,0.15428033866415805
-1,0.0,0.0,False,error,2010_003781,30,0,0,369,266,0.2001813333322657,37534.0,0.3730569948186528,2010_003781_mask_030.png,2010_003781_crop_030.jpg,False,0,0.4252806813782424
-1,0.0,0.0,False,error,2010_003781,31,226,158,274,217,0.1742026666657375,32663.0,0.3783783783783784,2010_003781_mask_031.png,2010_003781_crop_031.jpg,False,0,0.03355972016544963
-1,0.0,0.0,False,error,2010_003781,32,109,150,391,225,0.22875199999878,42891.0,0.3784615384615384,2010_003781_mask_032.png,2010_003781_crop_032.jpg,False,0,0.1495134962692519
-1,0.0,0.0,False,error,2010_003781,33,109,222,261,137,0.0902026666661855,16913.0,0.3786407766990291,2010_003781_mask_033.png,2010_003781_crop_033.jpg,False,0,0.0872004937994501
-1,0.0,0.0,False,error,2010_003781,34,0,0,413,266,0.1896853333323216,35566.0,0.3875338753387534,2010_003781_mask_034.png,2010_003781_crop_034.jpg,False,0,0.37997232791421653
-1,0.0,0.0,False,error,2010_003781,35,226,173,274,202,0.1203573333326914,22567.0,0.3978494623655914,2010_003781_mask_035.png,2010_003781_crop_035.jpg,False,0,0.02992468441709982
-1,0.0,0.0,False,error,2010_003781,36,0,0,500,275,0.2404053333320511,45076.0,0.4207650273224044,2010_003781_mask_036.png,2010_003781_crop_036.jpg,False,0,0.30358545454545455
-1,0.0,0.0,False,error,2010_003781,37,5,58,54,90,0.0151893333332523,2848.0,0.4210526315789473,2010_003781_mask_037.png,2010_003781_crop_037.jpg,False,0,0.05901467981638867
-1,0.0,0.0,False,error,2010_003781,38,13,0,381,261,0.2246613333321351,42124.0,0.4373259052924791,2010_003781_mask_038.png,2010_003781_crop_038.jpg,False,0,0.40230433055224474
-1,0.0,0.0,False,error,2010_003781,39,381,229,119,146,0.0362826666664731,6803.0,0.4418604651162791,2010_003781_mask_039.png,2010_003781_crop_039.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,40,0,0,500,275,0.1784639999990482,33462.0,0.4438202247191011,2010_003781_mask_040.png,2010_003781_crop_040.jpg,False,0,0.30358545454545455
-1,0.0,0.0,False,error,2010_003781,41,347,0,113,101,0.0222986666665477,4181.0,0.4455445544554455,2010_003781_mask_041.png,2010_003781_crop_041.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,42,109,150,391,225,0.1638613333324594,30724.0,0.4492753623188406,2010_003781_mask_042.png,2010_003781_crop_042.jpg,False,0,0.1495134962692519
-1,0.0,0.0,False,error,2010_003781,43,0,0,372,266,0.1500106666658666,28127.0,0.4509803921568627,2010_003781_mask_043.png,2010_003781_crop_043.jpg,False,0,0.42185099846390167
-1,0.0,0.0,False,error,2010_003781,44,0,58,61,217,0.0335946666664874,6299.0,0.4516129032258064,2010_003781_mask_044.png,2010_003781_crop_044.jpg,False,0,0.1859105713854317
-1,0.0,0.0,False,error,2010_003781,45,0,0,372,272,0.1672373333324414,31357.0,0.4534883720930232,2010_003781_mask_045.png,2010_003781_crop_045.jpg,False,0,0.4125454617330803
-1,0.0,0.0,False,error,2010_003781,46,0,37,59,120,0.0215893333332181,4048.0,0.4736842105263157,2010_003781_mask_046.png,2010_003781_crop_046.jpg,False,0,0.06635360926067489
-1,0.0,0.0,False,error,2010_003781,47,347,0,113,101,0.0250186666665332,4691.0,0.4827586206896552,2010_003781_mask_047.png,2010_003781_crop_047.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,48,0,37,85,120,0.0268586666665234,5036.0,0.4827586206896552,2010_003781_mask_048.png,2010_003781_crop_048.jpg,False,0,0.09832321908104794
-1,0.0,0.0,False,error,2010_003781,49,13,0,267,266,0.1229653333326775,23056.0,0.4848484848484848,2010_003781_mask_049.png,2010_003781_crop_049.jpg,True,0,0.5764934502090061
-1,0.0,0.0,False,error,2010_003781,50,0,200,370,175,0.1512586666658599,28361.0,0.4851485148514851,2010_003781_mask_050.png,2010_003781_crop_050.jpg,False,0,0.17431769311352485
-1,0.0,0.0,False,error,2010_003781,51,0,200,370,175,0.1533386666658488,28751.0,0.4901960784313725,2010_003781_mask_051.png,2010_003781_crop_051.jpg,False,0,0.17431769311352485
-1,0.0,0.0,False,error,2010_003781,52,120,200,250,159,0.0873279999995342,16374.0,0.4959349593495935,2010_003781_mask_052.png,2010_003781_crop_052.jpg,False,0,0.12056376761773806
-1,0.0,0.0,False,error,2010_003781,53,13,95,264,171,0.1065653333327649,19981.0,0.5,2010_003781_mask_053.png,2010_003781_crop_053.jpg,True,0,0.9032879893102013
-1,0.0,0.0,False,error,2010_003781,54,9,0,88,88,0.0294346666665096,5519.0,0.5151515151515151,2010_003781_mask_054.png,2010_003781_crop_054.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,55,109,159,283,200,0.0823199999995609,15435.0,0.5211267605633803,2010_003781_mask_055.png,2010_003781_crop_055.jpg,False,0,0.1876743596246513
-1,0.0,0.0,False,error,2010_003781,56,0,124,500,251,0.1952959999989584,36618.0,0.526813880126183,2010_003781_mask_056.png,2010_003781_crop_056.jpg,False,0,0.2606604705155168
-1,0.0,0.0,False,error,2010_003781,57,347,0,113,110,0.0253759999998646,4758.0,0.5315315315315315,2010_003781_mask_057.png,2010_003781_crop_057.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,58,206,0,158,111,0.0360159999998079,6753.0,0.5428571428571428,2010_003781_mask_058.png,2010_003781_crop_058.jpg,False,0,0.013957068331480372
-1,0.0,0.0,False,error,2010_003781,59,0,37,58,120,0.0169919999999093,3186.0,0.5555555555555556,2010_003781_mask_059.png,2010_003781_crop_059.jpg,False,0,0.0650818990968137
-1,0.0,0.0,False,error,2010_003781,60,13,93,279,173,0.1426666666659057,26750.0,0.5722543352601156,2010_003781_mask_060.png,2010_003781_crop_060.jpg,True,0,0.8454504449091729
-1,0.0,0.0,False,error,2010_003781,61,0,0,97,79,0.0288906666665125,5417.0,0.5862068965517241,2010_003781_mask_061.png,2010_003781_crop_061.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,62,257,0,137,131,0.044677333333095,8377.0,0.5882352941176471,2010_003781_mask_062.png,2010_003781_crop_062.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,63,0,37,85,120,0.0218346666665502,4094.0,0.6086956521739131,2010_003781_mask_063.png,2010_003781_crop_063.jpg,False,0,0.09832321908104794
-1,0.0,0.0,False,error,2010_003781,64,351,0,149,149,0.0566133333330313,10615.0,0.631578947368421,2010_003781_mask_064.png,2010_003781_crop_064.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,65,355,0,105,110,0.022357333333214,4192.0,0.632183908045977,2010_003781_mask_065.png,2010_003781_crop_065.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,66,206,0,294,158,0.0382666666664625,7175.0,0.6417910447761194,2010_003781_mask_066.png,2010_003781_crop_066.jpg,False,0,0.03780800640135558
-1,0.0,0.0,False,error,2010_003781,67,0,0,174,157,0.046495999999752,8718.0,0.6486486486486487,2010_003781_mask_067.png,2010_003781_crop_067.jpg,False,0,0.17265209787241267
-1,0.0,0.0,False,error,2010_003781,68,355,11,78,99,0.0153279999999182,2874.0,0.6507936507936508,2010_003781_mask_068.png,2010_003781_crop_068.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,69,351,17,149,132,0.0476533333330791,8935.0,0.673469387755102,2010_003781_mask_069.png,2010_003781_crop_069.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,70,222,138,223,90,0.0144533333332562,2710.0,0.6923076923076923,2010_003781_mask_070.png,2010_003781_crop_070.jpg,False,0,0.05369653785179756
-1,0.0,0.0,False,error,2010_003781,71,351,20,149,129,0.0395786666664555,7421.0,0.7142857142857143,2010_003781_mask_071.png,2010_003781_crop_071.jpg,False,-1,0.0
-1,0.0,0.0,False,error,2010_003781,72,10,58,48,90,0.0101013333332794,1894.0,0.8181818181818182,2010_003781_mask_072.png,2010_003781_crop_072.jpg,False,0,0.058457225579631886
-1,0.0,0.0,False,error,2010_003781,73,0,154,53,121,0.0129226666665977,2423.0,0.8333333333333334,2010_003781_mask_073.png,2010_003781_crop_073.jpg,False,0,0.10892092294938516
-1,0.0,0.0,False,error,2010_003781,74,80,0,55,100,0.0148799999999206,2790.0,0.8823529411764706,2010_003781_mask_074.png,2010_003781_crop_074.jpg,False,0,0.005855050246976665
