epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70496,3.13173,5.52304,4.25405,0,0,0,0,3.37882,5.96472,4.1588,0,0,0
2,3.46001,3.04945,5.55237,4.22643,0,0,0,0,3.37898,5.96478,4.15873,1.17822e-06,1.17822e-06,1.17822e-06
3,5.14024,3.11584,5.49304,4.27518,0,0,0,0,3.37913,5.96487,4.15866,2.33288e-06,2.33288e-06,2.33288e-06
4,6.82692,3.02707,5.4048,4.33357,0,0,0,0,3.37929,5.96498,4.15859,3.46397e-06,3.46397e-06,3.46397e-06
5,8.48296,3.48027,5.35191,4.30681,0,0,0,0,3.37945,5.96514,4.15851,4.5715e-06,4.5715e-06,4.5715e-06
6,10.1481,3.04265,5.51987,4.29157,0,0,0,0,3.3796,5.96523,4.15844,5.65548e-06,5.65548e-06,5.65548e-06
7,11.8132,3.59256,5.64333,4.31943,0,0,0,0,3.37975,5.96535,4.15837,6.71588e-06,6.71588e-06,6.71588e-06
8,13.5078,3.19635,5.52509,4.33012,0,0,0,0,3.37991,5.96554,4.1583,7.75273e-06,7.75273e-06,7.75273e-06
9,15.2268,3.24602,5.42105,4.22735,0,0,0,0,3.38007,5.96567,4.15823,8.76602e-06,8.76602e-06,8.76602e-06
10,16.9033,3.31071,5.77129,4.31127,0,0,0,0,3.38021,5.96588,4.15816,9.75574e-06,9.75574e-06,9.75574e-06
11,18.5603,3.40058,5.50821,4.22203,0,0,0,0,3.38036,5.96615,4.1581,1.07219e-05,1.07219e-05,1.07219e-05
12,20.2451,3.52982,5.53323,4.24484,0,0,0,0,3.38052,5.96632,4.15804,1.16645e-05,1.16645e-05,1.16645e-05
13,21.8944,2.96486,5.69888,4.20771,0,0,0,0,3.38067,5.96648,4.15797,1.25835e-05,1.25835e-05,1.25835e-05
14,23.5781,3.29106,5.44581,4.28824,0,0,0,0,3.38081,5.96658,4.15791,1.3479e-05,1.3479e-05,1.3479e-05
15,25.1162,3.31324,5.59442,4.2068,0,0,0,0,3.38097,5.96714,4.15785,1.43509e-05,1.43509e-05,1.43509e-05
16,26.6238,3.03934,5.36161,4.26019,0,0,0,0,3.38112,5.96766,4.1578,1.51993e-05,1.51993e-05,1.51993e-05
17,28.1257,3.22506,5.43064,4.21799,0,0,0,0,3.38125,5.96783,4.15775,1.60241e-05,1.60241e-05,1.60241e-05
18,29.5739,3.36432,5.43537,4.27932,0,0,0,0,3.38125,5.96783,4.15775,1.68253e-05,1.68253e-05,1.68253e-05
19,31.1141,3.28019,5.56747,4.28122,0,0,0,0,3.38151,5.96835,4.15766,1.7603e-05,1.7603e-05,1.7603e-05
20,32.5978,3.67055,5.72532,4.36994,0,0,0,0,3.38151,5.96835,4.15766,1.83571e-05,1.83571e-05,1.83571e-05
21,34.1262,3.2507,5.43781,4.21322,0,0,0,0,3.38182,5.96874,4.15757,1.90876e-05,1.90876e-05,1.90876e-05
22,35.5659,2.7472,5.7127,4.22853,0,0,0,0,3.38182,5.96874,4.15757,1.97946e-05,1.97946e-05,1.97946e-05
23,37.0516,3.17429,5.60477,4.26918,0,0,0,0,3.38209,5.96924,4.15752,2.0478e-05,2.0478e-05,2.0478e-05
24,38.5141,3.13677,5.52585,4.2606,0,0,0,0,3.38209,5.96924,4.15752,2.11379e-05,2.11379e-05,2.11379e-05
