epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34252,1.08173,3.50788,1.23084,0.60494,0.85,0.80243,0.61345,1.635,1.10612,1.37928,0,0,0
2,3.07663,1.48342,2.48116,1.70601,0.5988,0.85,0.79784,0.61089,1.63076,1.08447,1.37203,1.17822e-06,1.17822e-06,1.17822e-06
3,4.56859,1.30098,2.28125,1.83846,0.61396,0.85,0.79971,0.61192,1.63927,1.08117,1.3738,2.33288e-06,2.33288e-06,2.33288e-06
4,6.0784,1.69184,3.07858,1.86073,0.61431,0.85,0.7996,0.61613,1.6462,1.0733,1.37039,3.46397e-06,3.46397e-06,3.46397e-06
5,7.61499,1.34645,3.17768,1.6816,0.61526,0.85,0.8026,0.61823,1.65219,1.06714,1.37137,4.5715e-06,4.5715e-06,4.5715e-06
6,9.1421,1.52441,4.10368,1.91242,0.60698,0.85,0.80343,0.61829,1.64932,1.06472,1.36764,5.65548e-06,5.65548e-06,5.65548e-06
7,10.6769,1.13749,1.96025,1.32367,0.60832,0.85,0.80468,0.61873,1.64494,1.06588,1.36426,6.71588e-06,6.71588e-06,6.71588e-06
8,12.1518,0.9692,2.93272,1.34035,0.60117,0.85,0.80689,0.61936,1.63389,1.06961,1.35165,7.75273e-06,7.75273e-06,7.75273e-06
9,13.6569,1.13007,2.39467,1.38669,0.60003,0.85,0.8161,0.6173,1.62184,1.06359,1.34291,8.76602e-06,8.76602e-06,8.76602e-06
10,15.115,1.16709,2.43394,1.62364,0.59582,0.85,0.85891,0.63405,1.61361,1.05084,1.33866,9.75574e-06,9.75574e-06,9.75574e-06
11,16.6847,1.13705,1.97288,1.3502,0.57797,0.85,0.85809,0.63231,1.59974,1.04331,1.33274,1.07219e-05,1.07219e-05,1.07219e-05
12,18.1626,0.9669,1.93068,1.32115,0.57778,0.86667,0.85305,0.63197,1.60068,1.05341,1.33284,1.16645e-05,1.16645e-05,1.16645e-05
13,19.7923,1.04135,3.1044,1.39752,0.57938,0.86667,0.85583,0.63386,1.59756,1.06229,1.33143,1.25835e-05,1.25835e-05,1.25835e-05
14,21.2776,1.03358,2.56156,1.43197,0.58827,0.86667,0.85588,0.63425,1.59213,1.07167,1.32858,1.3479e-05,1.3479e-05,1.3479e-05
15,22.7649,1.14948,2.27934,1.36624,0.58812,0.86667,0.85622,0.64051,1.58572,1.07185,1.32757,1.43509e-05,1.43509e-05,1.43509e-05
16,24.2983,1.06753,1.86891,1.36755,0.59103,0.86667,0.89838,0.65322,1.58002,1.0793,1.32413,1.51993e-05,1.51993e-05,1.51993e-05
17,25.8235,0.92352,1.59273,1.23146,0.8534,0.65,0.89841,0.65356,1.58742,1.0883,1.33161,1.60241e-05,1.60241e-05,1.60241e-05
18,27.2851,0.98316,1.80055,1.38572,0.8534,0.65,0.89841,0.65356,1.58742,1.0883,1.33161,1.68253e-05,1.68253e-05,1.68253e-05
19,28.778,0.92622,1.39189,1.21867,0.84912,0.65,0.88442,0.62755,1.57688,1.11183,1.32561,1.7603e-05,1.7603e-05,1.7603e-05
20,30.2167,0.79149,1.6634,1.2295,0.84912,0.65,0.88442,0.62755,1.57688,1.11183,1.32561,1.83571e-05,1.83571e-05,1.83571e-05
21,31.8817,0.88572,1.87722,1.31949,0.86231,0.65,0.88024,0.63266,1.57722,1.13619,1.3289,1.90876e-05,1.90876e-05,1.90876e-05
22,33.3728,0.8094,1.63045,1.12738,0.86231,0.65,0.88024,0.63266,1.57722,1.13619,1.3289,1.97946e-05,1.97946e-05,1.97946e-05
23,34.8827,1.14019,2.25343,1.40821,0.86782,0.65,0.87119,0.63148,1.59135,1.16451,1.33714,2.0478e-05,2.0478e-05,2.0478e-05
24,36.3274,0.97873,2.45498,1.41839,0.86782,0.65,0.87119,0.63148,1.59135,1.16451,1.33714,2.11379e-05,2.11379e-05,2.11379e-05
25,37.8028,0.75568,1.72935,1.14601,0.84802,0.65,0.88595,0.62789,1.61147,1.2083,1.34886,2.17741e-05,2.17741e-05,2.17741e-05
