x1,x2,Y
1,100,799.7739785173537
2,99,795.753506654633
3,98,801.7760908797891
4,97,785.3317040271689
5,96,779.4940735486083
6,95,774.7841157150515
7,94,770.4481541471436
8,93,766.2861176045543
9,92,767.8570417819628
10,91,761.9083825588159
11,90,754.1110739064674
12,89,736.5525250892697
13,88,745.8192852004701
14,87,742.057031192548
15,86,734.5655695243889
16,85,726.2330824418532
17,84,726.7657132618058
18,83,713.2511338620922
19,82,708.8415744122533
20,81,708.8343983292975
21,80,702.3614880977494
22,79,694.734288881793
23,78,691.8508950626837
24,77,691.7463335036358
25,76,676.3518294703081
26,75,675.9768541574274
27,74,669.4295652622114
28,73,671.068756326754
29,72,668.6554549430438
30,71,652.7371602270988
31,70,647.8362862011861
32,69,650.1461803613012
33,68,640.7741259271604
34,67,638.9544594313254
35,66,635.5637125667872
36,65,625.2448958058415
37,64,616.1715659934267
38,63,616.7544089856577
39,62,608.7369837433786
40,61,612.4442694438596
41,60,611.3479969028045
42,59,599.788962493993
43,58,595.4163028175118
44,57,590.3561641406446
45,56,576.8565696920693
46,55,574.0714760663433
47,54,573.671306032293
48,53,563.8323773365319
49,52,563.6972154326219
50,51,559.8180343406336
51,50,554.5478826737632
52,49,544.0829826915673
53,48,545.9862616654898
54,47,538.9827454502228
55,46,528.6064070765425
56,45,527.0083581401526
57,44,518.5563404817614
58,43,519.7596951915529
59,42,513.9404838665357
60,41,512.9104132485
61,40,501.3645490475203
62,39,487.43509837688043
63,38,487.1098197561843
64,37,487.70461044026996
65,36,479.6346466796751
66,35,472.6480682275021
67,34,472.0655711554285
68,33,466.09003879794733
69,32,464.61831516631577
70,31,458.4635214542725
71,30,462.4622409942086
72,29,447.0912486634099
73,28,446.3824398343667
74,27,441.78483613123035
75,26,437.0243797030932
76,25,433.4385840097445
77,24,428.6213929515698
78,23,413.1290191662649
79,22,403.2120624775707
80,21,407.7435064436048
81,20,394.83574366186167
82,19,398.09754029496133
83,18,391.5088992626873
84,17,391.7348613758447
85,16,386.5882022485815
86,15,374.72151825953455
87,14,377.059275903122
88,13,366.8338515689779
89,12,356.9656178220014
90,11,361.5499204086183
91,10,352.1770701443583
92,9,350.52053973491144
93,8,334.06611202415644
94,7,338.8596824802509
95,6,337.2592593432636
96,5,329.28873649304745
97,4,317.6585652505108
98,3,314.21875870494296
99,2,310.0576752655263
100,1,311.78088775064464
