x1,x2,Y
1,100,800.2547150774121
2,99,801.2373200563433
3,98,799.2604915266924
4,97,785.4354307683249
5,96,780.4449389861411
6,95,777.1157132041498
7,94,771.9348639045974
8,93,758.9594209138123
9,92,764.2295557500471
10,91,757.0182909616323
11,90,751.6796528123322
12,89,742.4976577341744
13,88,742.8603264569601
14,87,741.8311961285491
15,86,727.1123824000514
16,85,725.5822489514125
17,84,720.7190609381123
18,83,716.0536304766597
19,82,715.1898717216085
20,81,708.3301251716089
21,80,702.24854209246
22,79,698.6570121053328
23,78,696.4169060289598
24,77,693.7675314776575
25,76,681.660322390988
26,75,678.2017429180586
27,74,680.2071005903712
28,73,674.2308624118876
29,72,669.3606702373057
30,71,658.1429605069552
31,70,649.6937889056338
32,69,651.2911404727955
33,68,646.6916972766519
34,67,644.6550434632617
35,66,628.8889235756449
36,65,629.4653756781396
37,64,619.7575561279656
38,63,619.6293427806137
39,62,609.5661212522408
40,61,605.4170494782904
41,60,594.2412347976202
42,59,608.9324098819936
43,58,587.4356985110575
44,57,580.8967900968942
45,56,582.7943127988365
46,55,579.562306340117
47,54,581.6838288804851
48,53,565.3838464736292
49,52,558.7061057522343
50,51,558.0706447219264
51,50,555.6047563046899
52,49,551.1527470856105
53,48,532.7883429509226
54,47,537.2108049788321
55,46,525.2612463284016
56,45,524.2988086834112
57,44,523.784554853395
58,43,524.1512311037859
59,42,506.5091138044024
60,41,524.4579453317427
61,40,505.96911568516055
62,39,488.5284979166681
63,38,494.84058007461005
64,37,484.1704184277491
65,36,484.17454571889914
66,35,478.64529551549776
67,34,475.89924402881155
68,33,461.3127830558415
69,32,465.6913380694467
70,31,454.3038941066363
71,30,446.3254460777633
72,29,453.4166856417367
73,28,440.04321041771846
74,27,434.06019506010637
75,26,441.50197113379517
76,25,416.28982525696745
77,24,423.7711645528443
78,23,420.65896956759644
79,22,408.49525700514897
80,21,407.5560459553094
81,20,400.5884177508435
82,19,395.90764034347853
83,18,393.51003735714903
84,17,381.871007401074
85,16,379.6043440681751
86,15,380.37248776261436
87,14,370.43627715648495
88,13,370.27677175060796
89,12,365.1109023838578
90,11,362.60286420512557
91,10,349.24057686054624
92,9,343.37247727952393
93,8,341.6811726250156
94,7,332.2002945675422
95,6,338.36258862131143
96,5,330.5136510305784
97,4,324.7515763621785
98,3,313.51571754239797
99,2,313.7571851530245
100,1,316.14325629045885
