x1,x2,x3,x4,x5,x6,y1,y2,y3
1,100,1,-8,10,-10,177,277,-446
2,99,2,-2,6,5,9823,218,-415
3,98,3,8,1,6,9637,172,-348
4,97,4,-2,10,5,9453,232,-407
5,96,5,3,-1,-10,9271,215,-337
6,95,6,9,-9,-9,9091,172,-284
7,94,7,4,9,4,8913,216,-350
8,93,8,2,3,-4,8737,221,-332
9,92,9,4,-3,-4,8563,198,-302
10,91,10,-1,1,10,8391,198,-341
11,90,11,1,-6,1,8221,190,-300
12,89,12,9,8,-10,8053,231,-269
13,88,13,10,-9,-9,7887,176,-223
14,87,14,0,-4,10,7723,184,-294
15,86,15,2,10,-4,289,249,-290
16,85,16,-6,10,0,318,266,-326
17,84,17,-8,-1,10,7243,220,-316
18,83,18,0,-1,9,7087,199,-267
19,82,19,-5,8,10,6933,240,-303
20,81,20,-7,9,-9,6781,288,-288
21,80,21,2,1,-5,6631,230,-223
22,79,22,-5,0,8,6483,223,-261
23,78,23,8,-2,5,6337,185,-181
24,77,24,8,4,-7,6193,228,-173
25,76,25,9,7,5,6051,211,-178
26,75,26,6,-3,-1,5911,203,-159
27,74,27,1,-7,-2,5773,209,-167
28,73,28,4,-6,-10,5637,220,-138
29,72,29,-3,-7,-10,5503,239,-163
30,71,30,9,-5,-3,471,196,-106
31,70,31,-1,-3,5,500,217,-160
32,69,32,6,-7,-10,5113,215,-94
33,68,33,5,-1,2,4987,213,-115
34,67,34,-4,-3,-10,4863,259,-136
35,66,35,-7,-3,-3,4741,255,-150
36,65,36,4,0,4,4621,218,-100
37,64,37,1,3,2,4503,241,-111
38,63,38,4,2,6,4387,222,-90
39,62,39,-7,-3,5,4273,243,-126
40,61,40,2,6,-8,4161,270,-78
41,60,41,-4,-9,5,4051,218,-83
42,59,42,-10,2,-10,3943,300,-112
43,58,43,1,3,6,3837,239,-67
44,57,44,-6,0,10,3733,244,-92
45,56,45,-4,-6,-1,638,243,-51
46,55,46,5,4,-5,585,255,-14
47,54,47,8,9,2,3433,248,-8
48,53,48,-3,-2,5,3337,243,-36
49,52,49,-3,-8,0,3243,236,-11
50,51,50,-8,1,4,3151,271,-50
51,50,51,-7,5,6,3061,277,-47
52,49,52,-1,1,-6,2973,272,11
53,48,53,-2,-9,-3,2887,240,31
54,47,54,-4,-6,9,2803,232,11
55,46,55,7,3,0,2721,245,65
56,45,56,-2,-7,-8,2641,259,56
57,44,57,5,-4,7,2563,218,78
58,43,58,10,10,-7,2487,274,97
59,42,59,-9,3,-6,2413,309,23
60,41,60,-9,-7,10,798,248,35
61,40,61,8,0,10,745,219,114
62,39,62,-8,-5,-1,2203,275,63
63,38,63,-8,-7,-6,2137,280,80
64,37,64,4,0,-9,2073,272,137
65,36,65,-9,2,10,2011,280,57
66,35,66,1,10,9,1951,277,100
67,34,67,-10,-3,-5,1893,300,93
68,33,68,6,-6,7,1837,220,175
69,32,69,-4,7,1,1783,302,113
70,31,70,-7,-3,4,1731,276,123
71,30,71,1,10,1,1681,298,148
72,29,72,-1,8,-5,1633,311,156
73,28,73,-5,3,10,1587,279,139
74,27,74,6,0,-3,1543,264,221
75,26,75,10,1,5,858,240,239
76,25,76,-8,8,4,874,318,144
77,24,77,2,-2,0,1423,267,226
78,23,78,4,-9,7,1387,227,251
79,22,79,-7,0,-3,1353,308,196
80,21,80,-5,-2,-3,1321,297,218
81,20,81,10,-5,-2,1291,242,306
82,19,82,-7,5,7,1263,306,200
83,18,83,-8,7,-2,1237,334,208
84,17,84,6,-7,-6,1213,259,318
85,16,85,-10,0,-4,1191,325,230
86,15,86,8,9,-8,1171,307,314
87,14,87,10,5,7,1153,260,325
88,13,88,-5,-10,-3,1137,281,298
89,12,89,3,4,-4,1123,302,319
90,11,90,-10,10,-3,989,358,249
91,10,91,4,6,-9,980,317,341
92,9,92,10,5,-9,1093,297,381
93,8,93,-5,-9,5,1087,273,328
94,7,94,-10,7,10,1083,327,274
95,6,95,7,1,3,1081,273,386
96,5,96,-7,10,-3,1081,355,312
97,4,97,-8,-7,-9,1083,320,355
98,3,98,5,-9,6,1087,246,417
99,2,99,5,10,-5,1093,326,398
100,1,100,-2,1,-9,1101,329,393
