x1,x2,Y
1,100,798.579805745284
2,99,801.9473400022393
3,98,797.2593759517675
4,97,788.5991884477129
5,96,784.3475605253511
6,95,785.9146496667396
7,94,769.0864811287793
8,93,766.446560508997
9,92,764.165968680737
10,91,746.2167915309313
11,90,751.6956096775278
12,89,746.7510182624185
13,88,749.4175325324112
14,87,729.2630228766822
15,86,735.2474753615791
16,85,728.8839282655324
17,84,720.1263842450318
18,83,721.0481222866288
19,82,713.1740300415233
20,81,711.511549173851
21,80,709.2165839728201
22,79,699.2689814460633
23,78,690.0604516446517
24,77,689.0640796521059
25,76,692.0083678235902
26,75,682.2650641394982
27,74,665.5090979188068
28,73,666.7178817669504
29,72,658.7327808263778
30,71,650.6573147914128
31,70,649.4182690440864
32,69,642.7892176442317
33,68,648.5429204279696
34,67,635.4999825536435
35,66,640.0058776010347
36,65,628.8140068656894
37,64,614.6647792548437
38,63,624.3907206071544
39,62,614.0526195860423
40,61,608.1491574181167
41,60,598.3827650517904
42,59,604.1691088213139
43,58,597.71699898937
44,57,581.4712944821891
45,56,586.9772634141746
46,55,567.0224018403597
47,54,576.7590731481016
48,53,573.2598083521627
49,52,552.330442138713
50,51,559.5606723473607
51,50,554.2913983864066
52,49,534.2208057556518
53,48,543.5704391274511
54,47,530.485026194329
55,46,532.5934828094773
56,45,524.2350690946129
57,44,520.4586361017114
58,43,528.9184651549218
59,42,521.3516917786698
60,41,505.1038005887483
61,40,499.5189706640402
62,39,499.15126976307727
63,38,493.1412618392244
64,37,491.2021215118546
65,36,482.9428704837537
66,35,475.1207757954942
67,34,470.7483627728478
68,33,465.51360860608384
69,32,459.5903252122083
70,31,461.9755946485282
71,30,462.1831536025668
72,29,444.9575330422405
73,28,441.3319600278944
74,27,443.75982260062284
75,26,433.4112663591475
76,25,432.6767190019373
77,24,420.7053769866808
78,23,417.5580076836907
79,22,413.85983799969677
80,21,405.9156215410319
81,20,398.9472165601404
82,19,398.508970598723
83,18,395.45063876504514
84,17,393.1299710776253
85,16,391.4189459339842
86,15,380.25339400334457
87,14,374.97267536118613
88,13,367.5813542875612
89,12,368.2256539435898
90,11,347.77712602311016
91,10,350.9618998225036
92,9,349.42086365083196
93,8,329.17716471895204
94,7,334.7639672450007
95,6,335.75209115531567
96,5,336.02787343897364
97,4,327.1241966062446
98,3,327.50797755135585
99,2,307.9877467426935
100,1,305.58865769982754
