x1,x2,y
1,100,803.04259045775
2,99,798.0767705840126
3,98,793.0281588761003
4,97,788.0574344958732
5,96,783.0711146027926
6,95,778.0955074533304
7,94,773.0916375065552
8,93,768.055296409189
9,92,763.0748825846985
10,91,758.0183324562274
11,90,753.0791597830183
12,89,748.088976256245
13,88,743.077806202457
14,87,738.0971490503994
15,86,733.0538982315579
16,85,728.0507198951086
17,84,723.049434555687
18,83,718.0489030193866
19,82,713.054160315102
20,81,708.030710606131
21,80,703.0688759664658
22,79,698.0405420597501
23,78,693.0859182048423
24,77,688.032828485171
25,76,683.0565690616548
26,75,678.0132099403182
27,74,673.0438158819613
28,73,668.0744968140268
29,72,663.0809660533175
30,71,658.0520222230381
31,70,653.012750063366
32,69,648.0412373496117
33,68,643.0677730078925
34,67,638.0781423674111
35,66,633.080239639389
36,65,628.0387362648398
37,64,623.0260099693779
38,63,618.0922643110221
39,62,613.0965097498698
40,61,608.0116446713579
41,60,603.0607818059704
42,59,598.0231863422856
43,58,593.0552758481593
44,57,588.0574180544231
45,56,583.0825172310357
46,55,578.0653206235464
47,54,573.085132561483
48,53,568.075406416351
49,52,563.0334055326804
50,51,558.0766796112351
51,50,553.0822395723181
52,49,548.0903174710976
53,48,543.0342770409057
54,47,538.0624874133262
55,46,533.0507485953563
56,45,528.0293197167455
57,44,523.0100475612436
58,43,518.0493376601427
59,42,513.0450125688361
60,41,508.01096862481086
61,40,503.0977271987327
62,39,498.0910980585337
63,38,493.07247762606835
64,37,488.08137394927047
65,36,483.0277376380605
66,35,478.09831352939153
67,34,473.09600368742235
68,33,468.0332033646886
69,32,463.07422549426985
70,31,458.0858737876658
71,30,453.06147606332956
72,29,448.0552155706993
73,28,443.04269750361186
74,27,438.0776496833523
75,26,433.0641577873326
76,25,428.0411504516082
77,24,423.0492995384381
78,23,418.0759565051776
79,22,413.0185681212811
80,21,408.01339195340046
81,20,403.06112280462116
82,19,398.0861964061169
83,18,393.0499970911275
84,17,388.0220415511857
85,16,383.0938360789647
86,15,378.05910037107293
87,14,373.0617635338282
88,13,368.07114943306965
89,12,363.09528676267814
90,11,358.0271070924152
91,10,353.07781473931516
92,9,348.085944254336
93,8,343.09783957626263
94,7,338.0458920753255
95,6,333.0691702934404
96,5,328.0567265741814
97,4,323.0147158182912
98,3,318.0250134077444
99,2,313.05203276301984
100,1,308.0627820618962
